manufacturer,aspiration,body,drive,engine_location,engine_type,fuel_system,horsepower,peak_rpm,city_mpg,highway_mpg,price,fuel,num_doors,num_cylinders
4,1,2,1,0,2,4,145.0,5000.0,19,24,12964.0,1,2,4
5,0,2,1,0,2,0,58.0,4800.0,49,54,6479.0,1,2,4
5,0,2,1,0,2,0,76.0,6000.0,31,38,6855.0,1,2,4
5,0,2,1,0,2,0,60.0,5500.0,38,42,5399.0,1,2,4
5,0,2,1,0,2,0,76.0,6000.0,30,34,6529.0,1,2,4
5,0,2,1,0,2,0,76.0,6000.0,30,34,7129.0,1,2,4
5,0,3,1,0,2,0,76.0,6000.0,30,34,7295.0,1,4,4
5,0,4,1,0,2,0,76.0,6000.0,30,34,7295.0,1,4,4
5,0,2,1,0,2,0,86.0,5800.0,27,33,7895.0,1,2,4
5,0,2,1,0,2,0,86.0,5800.0,27,33,9095.0,1,2,4
5,0,3,1,0,2,0,86.0,5800.0,27,33,8845.0,1,4,4
5,0,3,1,0,2,0,86.0,5800.0,27,33,10295.0,1,4,4
5,0,3,1,0,2,5,101.0,5800.0,24,28,12945.0,1,4,4
5,0,3,1,0,2,1,100.0,5500.0,25,31,10345.0,1,2,4
6,0,3,2,0,2,1,78.0,4800.0,24,29,6785.0,1,4,4
6,0,2,2,0,2,7,90.0,5000.0,24,29,11048.0,1,2,4
7,0,3,2,0,0,5,176.0,4750.0,15,19,32250.0,1,4,6
7,0,3,2,0,0,5,176.0,4750.0,15,19,35550.0,1,4,6
7,0,3,2,0,4,5,262.0,5000.0,13,17,36000.0,1,2,12
8,0,2,1,0,2,1,68.0,5000.0,30,31,5195.0,1,2,4
8,0,2,1,0,2,1,68.0,5000.0,31,38,6095.0,1,2,4
8,0,2,1,0,2,1,68.0,5000.0,31,38,6795.0,1,2,4
8,0,3,1,0,2,1,68.0,5000.0,31,38,6695.0,1,4,4
8,0,3,1,0,2,1,68.0,5000.0,31,38,7395.0,1,4,4
8,0,2,2,0,5,2,101.0,6000.0,17,23,10945.0,1,2,2
8,0,2,2,0,5,2,101.0,6000.0,17,23,11845.0,1,2,2
8,0,2,2,0,5,2,101.0,6000.0,17,23,13645.0,1,2,2
8,0,2,2,0,5,5,135.0,6000.0,16,23,15645.0,1,2,2
8,0,2,1,0,2,1,84.0,4800.0,26,32,8845.0,1,2,4
8,0,3,1,0,2,1,84.0,4800.0,26,32,8495.0,1,4,4
8,0,2,1,0,2,1,84.0,4800.0,26,32,10595.0,1,2,4
8,0,3,1,0,2,1,84.0,4800.0,26,32,10245.0,1,4,4
8,0,3,1,0,2,3,64.0,4650.0,36,42,10795.0,0,4,4
8,0,2,1,0,2,1,84.0,4800.0,26,32,11245.0,1,4,4
8,0,3,2,0,2,5,120.0,5000.0,19,27,18280.0,1,4,4
8,0,3,2,0,2,3,72.0,4200.0,31,39,18344.0,0,4,4
9,1,3,2,0,2,3,123.0,4350.0,22,25,25552.0,0,4,5
9,1,4,2,0,2,3,123.0,4350.0,22,25,28248.0,0,4,5
9,1,1,2,0,2,3,123.0,4350.0,22,25,28176.0,0,2,5
9,1,3,2,0,2,3,123.0,4350.0,22,25,31600.0,0,4,5
9,0,3,2,0,4,5,155.0,4750.0,16,18,34184.0,1,4,8
9,0,0,2,0,4,5,155.0,4750.0,16,18,35056.0,1,2,8
9,0,3,2,0,4,5,184.0,4500.0,14,16,40960.0,1,4,8
9,0,1,2,0,4,5,184.0,4500.0,14,16,45400.0,1,2,8
10,1,2,2,0,2,5,175.0,5000.0,19,24,16503.0,1,2,4
11,0,2,1,0,2,1,68.0,5500.0,37,41,5389.0,1,2,4
11,0,2,1,0,2,1,68.0,5500.0,31,38,6189.0,1,2,4
11,0,2,1,0,2,1,68.0,5500.0,31,38,6669.0,1,2,4
11,1,2,1,0,2,6,102.0,5500.0,24,30,7689.0,1,2,4
11,1,2,1,0,2,6,116.0,5500.0,23,30,9959.0,1,2,4
11,0,2,1,0,2,1,88.0,5000.0,25,32,8499.0,1,2,4
11,1,2,1,0,2,6,145.0,5000.0,19,24,12629.0,1,2,4
11,1,2,1,0,2,6,145.0,5000.0,19,24,14869.0,1,2,4
11,1,2,1,0,2,6,145.0,5000.0,19,24,14489.0,1,2,4
11,0,3,1,0,2,1,88.0,5000.0,25,32,6989.0,1,4,4
11,0,3,1,0,2,1,88.0,5000.0,25,32,8189.0,1,4,4
11,1,3,1,0,2,6,116.0,5500.0,23,30,9279.0,1,4,4
11,0,3,1,0,2,6,116.0,5500.0,23,30,9279.0,1,4,4
12,0,3,1,0,2,1,69.0,5200.0,31,37,5499.0,1,2,4
12,0,3,1,0,2,3,55.0,4800.0,45,50,7099.0,0,2,4
12,0,3,1,0,2,1,69.0,5200.0,31,37,6649.0,1,2,4
12,0,3,1,0,2,1,69.0,5200.0,31,37,6849.0,1,4,4
12,0,4,1,0,2,1,69.0,5200.0,31,37,7349.0,1,4,4
12,0,3,1,0,2,1,69.0,5200.0,31,37,7299.0,1,2,4
12,0,2,1,0,2,1,69.0,5200.0,31,37,7799.0,1,2,4
12,0,3,1,0,2,1,69.0,5200.0,31,37,7499.0,1,4,4
12,0,4,1,0,2,1,69.0,5200.0,31,37,7999.0,1,4,4
12,0,1,1,0,2,1,69.0,5200.0,31,37,8249.0,1,2,4
12,0,2,1,0,2,1,97.0,5200.0,27,34,8949.0,1,4,4
12,0,3,1,0,2,1,97.0,5200.0,27,34,9549.0,1,4,4
12,0,3,1,0,4,5,152.0,5200.0,17,22,13499.0,1,4,6
12,0,4,1,0,4,5,152.0,5200.0,17,22,14399.0,1,4,6
12,0,3,1,0,4,5,152.0,5200.0,19,25,13499.0,1,4,6
12,0,2,2,0,4,5,160.0,5200.0,19,25,17199.0,1,2,6
12,1,2,2,0,4,5,200.0,5200.0,17,23,19699.0,1,2,6
12,0,2,2,0,4,5,160.0,5200.0,19,25,18399.0,1,2,6
13,0,3,2,0,1,5,97.0,5000.0,19,24,11900.0,1,4,4
13,1,3,2,0,1,3,95.0,4150.0,28,33,13200.0,0,4,4
13,0,4,2,0,1,5,97.0,5000.0,19,24,12440.0,1,4,4
13,1,4,2,0,1,3,95.0,4150.0,25,25,13860.0,0,4,4
13,0,3,2,0,1,5,95.0,5000.0,19,24,15580.0,1,4,4
13,1,3,2,0,1,3,95.0,4150.0,28,33,16900.0,0,4,4
13,0,4,2,0,1,5,95.0,5000.0,19,24,16695.0,1,4,4
13,1,4,2,0,1,3,95.0,4150.0,25,25,17075.0,0,4,4
13,0,3,2,0,1,5,97.0,5000.0,19,24,16630.0,1,4,4
13,1,3,2,0,1,3,95.0,4150.0,28,33,17950.0,0,4,4
13,1,3,2,0,1,5,142.0,5600.0,18,24,18150.0,1,4,4
14,0,2,1,0,2,1,68.0,5500.0,37,41,5572.0,1,2,4
14,1,2,1,0,2,6,102.0,5500.0,24,30,7957.0,1,2,4
14,0,2,1,0,2,1,68.0,5500.0,31,38,6229.0,1,4,4
14,0,3,1,0,2,1,68.0,5500.0,31,38,6692.0,1,4,4
14,0,3,1,0,2,1,68.0,5500.0,31,38,7609.0,1,4,4
14,0,4,1,0,2,1,88.0,5000.0,24,30,8921.0,1,4,4
14,1,2,2,0,2,6,145.0,5000.0,19,24,12764.0,1,2,4
15,0,2,2,0,2,5,143.0,5500.0,19,27,22018.0,1,2,4
15,0,1,2,1,3,5,207.0,5900.0,17,25,32528.0,1,2,6
15,0,1,2,1,3,5,207.0,5900.0,17,25,34028.0,1,2,6
15,0,0,2,1,3,5,207.0,5900.0,17,25,37028.0,1,2,6
16,0,4,1,0,2,5,104.256157635468,5125.369458128079,23,31,9295.0,1,4,4
16,0,2,1,0,2,5,104.256157635468,5125.369458128079,23,31,9895.0,1,2,4
17,0,2,1,0,2,5,110.0,5250.0,21,28,11850.0,1,2,4
17,0,3,1,0,2,5,110.0,5250.0,21,28,12170.0,1,4,4
17,0,2,1,0,2,5,110.0,5250.0,21,28,15040.0,1,2,4
17,0,3,1,0,2,5,110.0,5250.0,21,28,15510.0,1,4,4
17,1,2,1,0,0,5,160.0,5500.0,19,26,18150.0,1,2,4
17,1,3,1,0,0,5,160.0,5500.0,19,26,18620.0,1,4,4
18,0,2,1,0,3,1,69.0,4900.0,31,36,5118.0,1,2,4
18,0,2,1,0,3,1,73.0,4400.0,26,31,7053.0,1,2,4
18,0,2,0,0,3,1,73.0,4400.0,26,31,7603.0,1,2,4
18,0,3,1,0,3,1,82.0,4800.0,32,37,7126.0,1,4,4
18,0,3,1,0,3,1,82.0,4400.0,28,33,7775.0,1,4,4
18,0,3,1,0,3,5,94.0,5200.0,26,32,9960.0,1,4,4
18,0,3,0,0,3,1,82.0,4800.0,24,25,9233.0,1,4,4
18,1,3,0,0,3,5,111.0,4800.0,24,29,11259.0,1,4,4
18,0,4,1,0,3,1,82.0,4800.0,28,32,7463.0,1,4,4
18,0,4,1,0,3,5,94.0,5200.0,25,31,10198.0,1,4,4
18,0,4,0,0,3,1,82.0,4800.0,23,29,8013.0,1,4,4
18,1,4,0,0,3,5,111.0,4800.0,23,23,11694.0,1,4,4
19,0,2,1,0,2,1,62.0,4800.0,35,39,5348.0,1,2,4
19,0,2,1,0,2,1,62.0,4800.0,31,38,6338.0,1,2,4
19,0,2,1,0,2,1,62.0,4800.0,31,38,6488.0,1,4,4
19,0,4,1,0,2,1,62.0,4800.0,31,37,6918.0,1,4,4
19,0,4,0,0,2,1,62.0,4800.0,27,32,7898.0,1,4,4
19,0,4,0,0,2,1,62.0,4800.0,27,32,8778.0,1,4,4
19,0,3,1,0,2,1,70.0,4800.0,30,37,6938.0,1,4,4
19,0,2,1,0,2,1,70.0,4800.0,30,37,7198.0,1,4,4
19,0,3,1,0,2,3,56.0,4500.0,34,36,7898.0,0,4,4
19,0,2,1,0,2,3,56.0,4500.0,38,47,7788.0,0,4,4
19,0,3,1,0,2,1,70.0,4800.0,38,47,7738.0,1,4,4
19,0,2,1,0,2,1,70.0,4800.0,28,34,8358.0,1,4,4
19,0,3,1,0,2,1,70.0,4800.0,28,34,9258.0,1,4,4
19,0,3,2,0,2,1,70.0,4800.0,29,34,8058.0,1,2,4
19,0,2,2,0,2,1,70.0,4800.0,29,34,8238.0,1,2,4
19,0,3,2,0,0,5,112.0,6600.0,26,29,9298.0,1,2,4
19,0,2,2,0,0,5,112.0,6600.0,26,29,9538.0,1,2,4
19,0,1,2,0,2,5,116.0,4800.0,24,30,8449.0,1,2,4
19,0,1,2,0,2,5,116.0,4800.0,24,30,9639.0,1,2,4
19,0,2,2,0,2,5,116.0,4800.0,24,30,9989.0,1,2,4
19,0,1,2,0,2,5,116.0,4800.0,24,30,11199.0,1,2,4
19,0,2,2,0,2,5,116.0,4800.0,24,30,11549.0,1,2,4
19,0,0,2,0,2,5,116.0,4800.0,24,30,17669.0,1,2,4
19,0,3,1,0,2,5,92.0,4200.0,29,34,8948.0,1,4,4
19,1,3,1,0,2,3,73.0,4500.0,30,33,10698.0,0,4,4
19,0,2,1,0,2,5,92.0,4200.0,27,32,9988.0,1,4,4
19,0,3,1,0,2,5,92.0,4200.0,27,32,10898.0,1,4,4
19,0,2,1,0,2,5,92.0,4200.0,27,32,11248.0,1,4,4
19,0,2,2,0,0,5,161.0,5200.0,20,24,16558.0,1,2,6
19,0,2,2,0,0,5,161.0,5200.0,19,24,15998.0,1,2,6
19,0,3,2,0,0,5,156.0,5200.0,20,24,15690.0,1,4,6
19,0,4,2,0,0,5,156.0,5200.0,19,24,15750.0,1,4,6
20,0,3,1,0,2,3,52.0,4800.0,37,46,7775.0,0,2,4
20,0,3,1,0,2,5,85.0,5250.0,27,34,7975.0,1,2,4
20,0,3,1,0,2,3,52.0,4800.0,37,46,7995.0,0,4,4
20,0,3,1,0,2,5,85.0,5250.0,27,34,8195.0,1,4,4
20,0,3,1,0,2,5,85.0,5250.0,27,34,8495.0,1,4,4
20,1,3,1,0,2,3,68.0,4500.0,37,42,9495.0,0,4,4
20,0,3,1,0,2,5,100.0,5500.0,26,32,9995.0,1,4,4
20,0,0,1,0,2,5,90.0,5500.0,24,29,11595.0,1,2,4
20,0,2,1,0,2,5,90.0,5500.0,24,29,9980.0,1,2,4
20,0,3,1,0,2,5,110.0,5500.0,19,24,13295.0,1,4,5
20,1,3,1,0,2,3,68.0,4500.0,33,38,13845.0,0,4,4
20,0,4,1,0,2,5,88.0,5500.0,25,31,12290.0,1,4,4
21,0,3,2,0,2,5,114.0,5400.0,23,28,12940.0,1,4,4
21,0,4,2,0,2,5,114.0,5400.0,23,28,13415.0,1,4,4
21,0,3,2,0,2,5,114.0,5400.0,24,28,15985.0,1,4,4
21,0,4,2,0,2,5,114.0,5400.0,24,28,16515.0,1,4,4
21,1,3,2,0,2,5,162.0,5100.0,17,22,18420.0,1,4,4
21,1,4,2,0,2,5,162.0,5100.0,17,22,18950.0,1,4,4
21,0,3,2,0,2,5,114.0,5400.0,23,28,16845.0,1,4,4
21,1,3,2,0,2,5,160.0,5300.0,19,25,19045.0,1,4,4
21,0,3,2,0,4,5,134.0,5500.0,18,23,21485.0,1,4,6
21,1,3,2,0,2,3,106.0,4800.0,26,27,22470.0,0,4,6
21,1,3,2,0,2,5,114.0,5400.0,19,25,22625.0,1,4,4
5,0,3,2,0,2,1,92.0,4800.0,28,28,7609.0,1,2,4
21,0,4,1,0,2,5,200.0,6600.0,19,33,6855.0,1,2,4
9,0,3,1,0,2,6,121.0,5250.0,27,38,8499.0,1,2,4
19,0,3,1,0,3,6,95.0,4800.0,31,33,5151.0,1,2,4
12,0,2,1,0,2,3,111.0,4800.0,31,38,9538.0,1,4,4
20,0,3,1,0,2,5,69.0,5000.0,31,38,6855.0,1,2,4
20,1,2,2,0,2,5,84.0,4800.0,31,19,14869.0,1,4,4
12,0,3,2,0,2,5,90.0,5400.0,28,20,45400.0,1,2,6
18,0,3,1,0,2,5,102.0,5000.0,31,34,13200.0,1,4,4
11,0,4,1,0,2,1,116.0,5000.0,19,25,8778.0,1,2,4
12,0,3,2,0,3,5,116.0,5200.0,19,41,9960.0,1,2,4
6,0,3,1,0,4,0,73.0,4800.0,23,32,5572.0,1,4,4
19,0,2,1,0,2,0,92.0,4800.0,31,23,12940.0,1,4,2
19,0,3,1,0,2,5,84.0,4750.0,17,37,37028.0,1,2,4
9,0,3,2,0,2,1,162.0,6000.0,25,29,10198.0,1,2,6
17,1,3,1,0,2,4,111.0,4800.0,27,25,6295.0,1,4,4
3,0,3,1,0,2,5,207.0,4800.0,31,37,13415.0,1,4,4
12,0,2,2,0,4,1,111.0,5400.0,22,24,7895.0,1,4,4
12,0,2,2,0,2,1,62.0,5400.0,19,36,8495.0,1,2,4
2,0,3,1,0,2,5,68.0,5400.0,26,30,7395.0,1,4,4
5,1,3,2,0,2,6,121.0,5125.369458128079,34,27,6575.0,1,4,4
11,0,2,2,0,2,5,58.0,5500.0,27,37,6295.0,1,4,4
20,0,3,1,0,2,5,162.0,5125.369458128079,19,38,9295.0,1,4,4
16,0,3,1,0,4,0,90.0,4500.0,16,23,7126.0,1,4,4
19,1,3,2,0,2,1,262.0,5200.0,27,31,6229.0,1,4,6
12,0,3,1,0,3,5,62.0,5200.0,24,29,7957.0,1,2,4
19,0,3,2,0,2,3,101.0,4750.0,17,46,17950.0,1,2,4
20,0,3,1,0,4,1,104.256157635468,5800.0,26,37,9233.0,1,2,4
8,0,2,1,0,2,1,116.0,4800.0,19,30,17075.0,1,4,4
8,0,4,1,0,3,1,101.0,4200.0,19,29,9095.0,0,2,6
14,1,2,1,0,2,1,110.0,5000.0,13,24,7799.0,1,2,4
3,1,3,0,0,2,1,76.0,5200.0,24,38,34028.0,0,4,4
12,0,3,1,0,2,5,68.0,5200.0,31,24,7788.0,1,4,4
18,0,2,2,0,2,5,145.0,5000.0,25,25,6938.0,1,2,4
13,0,2,1,0,2,3,114.0,4800.0,24,38,6692.0,1,2,4
8,0,3,2,0,3,0,140.0,4800.0,31,23,9279.0,1,2,4
19,0,3,2,0,2,1,78.0,5125.369458128079,16,31,8845.0,1,2,4
11,0,1,2,0,2,1,92.0,5250.0,20,41,16500.0,1,4,4
14,0,3,2,0,2,5,123.0,4250.0,21,32,7957.0,0,2,4
19,0,2,1,0,0,1,62.0,5500.0,31,23,7999.0,1,4,4
11,0,2,1,0,4,5,100.0,5500.0,22,29,13495.0,0,2,5
9,0,2,2,0,2,1,176.0,4250.0,17,24,16500.0,1,4,4
19,0,3,1,0,2,1,76.0,5000.0,32,22,22625.0,1,4,8
13,1,3,1,0,3,5,123.0,5500.0,31,22,11048.0,1,2,4
11,1,2,1,0,2,2,111.0,4800.0,14,31,15645.0,1,4,4
21,0,3,1,0,2,1,145.0,5000.0,30,39,13499.0,1,4,4
5,0,3,2,0,3,1,72.0,5000.0,18,28,17950.0,1,4,4
20,0,2,2,0,2,1,68.0,5400.0,24,33,9279.0,0,2,4
18,0,2,1,0,2,3,112.0,4800.0,16,32,21105.0,1,4,4
15,0,2,2,0,2,5,101.0,4500.0,26,30,7463.0,1,2,4
21,1,2,2,0,2,1,90.0,5500.0,26,25,17669.0,0,2,4
8,0,1,0,0,4,1,116.0,5200.0,17,22,21105.0,0,2,4
20,0,3,1,0,4,0,64.0,5500.0,24,34,15510.0,1,2,4
13,0,1,1,0,2,1,110.0,4150.0,26,19,12170.0,1,4,4
19,0,2,1,0,2,1,102.0,5000.0,49,34,11199.0,0,2,4
18,0,3,1,0,1,5,68.0,5500.0,31,39,12290.0,1,2,4
20,0,3,1,0,2,5,116.0,4800.0,24,28,8249.0,0,4,4
9,0,4,2,0,2,1,135.0,5500.0,17,38,7609.0,0,4,5
15,0,3,1,0,2,1,116.0,5000.0,32,32,8558.0,1,4,4
17,1,4,1,0,2,1,86.0,5200.0,37,38,18950.0,1,4,4
19,0,2,2,0,2,1,114.0,5500.0,27,23,10345.0,1,4,4
13,1,3,2,0,2,3,97.0,5500.0,26,25,17669.0,1,2,6
11,0,3,1,0,2,0,76.0,5500.0,28,28,5348.0,0,4,4
1,0,3,1,0,2,5,111.0,5400.0,23,34,13845.0,1,2,5
11,1,0,2,0,2,5,110.0,4150.0,25,30,13645.0,1,4,4
0,0,3,1,0,0,3,112.0,4800.0,15,37,8495.0,1,4,4
11,0,3,0,0,2,3,121.0,4800.0,17,37,7975.0,1,4,4
1,0,2,1,0,2,5,102.0,5000.0,26,32,13645.0,1,2,4
21,0,2,1,0,2,5,69.0,5000.0,24,32,17199.0,1,4,4
19,1,2,1,0,4,3,110.0,4800.0,31,28,15645.0,1,2,4
5,1,2,2,0,2,5,90.0,5500.0,31,43,21105.0,1,4,4
4,0,2,1,0,2,1,116.0,5000.0,31,29,9095.0,1,4,6
19,0,2,0,0,2,5,62.0,5500.0,29,41,23875.0,1,4,4
15,1,2,1,0,2,5,94.0,5500.0,19,32,6785.0,1,4,4
9,0,3,2,0,2,3,155.0,5500.0,15,38,6189.0,1,4,4
1,0,3,1,0,2,1,116.0,5500.0,31,24,12290.0,1,2,4
12,0,2,2,0,2,5,162.0,5200.0,27,24,21105.0,0,2,4
3,0,2,1,0,5,4,69.0,5200.0,31,37,34184.0,1,4,4
4,0,0,1,0,3,5,70.0,4800.0,24,32,11694.0,1,4,4
14,0,2,1,0,0,3,68.0,5400.0,18,25,9233.0,1,4,6
12,1,3,1,0,2,1,104.256157635468,5000.0,16,42,13499.0,0,4,4
4,0,3,1,0,2,1,116.0,5500.0,14,27,32528.0,1,4,4
3,1,2,2,0,2,3,69.0,5500.0,17,23,7689.0,1,4,4
4,0,2,2,0,2,1,88.0,4800.0,17,29,8058.0,1,2,4
21,0,4,2,0,2,1,155.0,4800.0,15,27,15750.0,1,2,4
9,0,2,1,0,3,5,62.0,4800.0,17,38,13499.0,1,4,5
5,0,3,2,0,2,5,110.0,4800.0,28,24,5118.0,1,2,4
17,0,3,1,0,4,5,207.0,6000.0,27,22,10698.0,1,2,4
14,0,4,1,0,2,5,123.0,4500.0,19,42,6989.0,0,2,5
8,1,3,1,0,2,3,85.0,4800.0,26,25,7099.0,1,2,4
2,0,3,1,0,2,5,68.0,4150.0,14,31,18399.0,1,4,4
13,1,2,2,0,2,2,68.0,4800.0,30,38,6377.0,1,2,6
19,0,2,1,0,2,5,114.0,5400.0,19,24,16558.0,1,2,4
21,1,2,2,0,2,0,156.0,4800.0,38,30,7898.0,1,4,4
11,0,3,2,0,1,0,85.0,5500.0,19,41,5151.0,1,4,4
19,0,4,2,0,2,5,134.0,5125.369458128079,24,33,12964.0,1,2,8
7,0,4,2,0,5,1,114.0,4200.0,19,22,7299.0,1,2,6
13,1,3,1,0,2,5,121.0,4800.0,17,30,18620.0,1,4,4
14,0,3,2,0,2,5,111.0,5800.0,27,34,7395.0,1,4,4
19,0,2,1,0,2,5,95.0,4800.0,28,31,8495.0,1,4,4
13,0,2,1,0,3,1,48.0,5000.0,24,42,8845.0,1,2,4
8,0,3,1,0,2,6,116.0,4800.0,31,20,16630.0,1,4,4
20,0,1,1,0,2,0,69.0,5400.0,22,30,6229.0,1,2,4
5,0,2,1,0,0,5,106.0,5400.0,27,24,36880.0,1,2,4
3,0,2,1,0,5,5,68.0,5200.0,23,54,6229.0,0,4,4
13,0,3,2,1,2,1,207.0,5500.0,19,30,22625.0,1,4,4
18,0,1,1,0,2,0,76.0,4150.0,24,30,7957.0,1,4,4
13,0,2,2,0,2,1,102.0,5500.0,27,31,12945.0,0,4,6
21,0,3,2,0,2,5,88.0,5000.0,18,38,8921.0,1,4,4
15,1,2,2,0,3,3,116.0,5200.0,31,38,36880.0,1,4,4
6,0,2,2,0,2,0,68.0,5500.0,30,24,13950.0,1,2,4
19,0,2,1,0,3,5,101.0,4150.0,21,24,7799.0,1,4,4
2,0,2,0,0,2,1,86.0,4750.0,27,24,7957.0,1,4,4
17,0,3,2,0,2,3,110.0,5600.0,31,32,11850.0,1,2,6
3,0,2,1,0,2,1,112.0,4800.0,30,23,16503.0,1,4,6
16,0,3,1,0,3,0,68.0,5000.0,26,32,12170.0,1,2,4
9,0,3,1,0,2,3,70.0,4800.0,22,29,7499.0,0,2,4
14,0,2,1,0,4,1,94.0,5200.0,21,26,7775.0,0,2,4
19,0,2,1,0,2,1,70.0,4800.0,25,25,8921.0,0,4,4
8,1,4,2,0,2,5,155.0,6000.0,19,30,6377.0,1,4,4
20,0,4,1,0,4,6,123.0,4150.0,16,25,10198.0,0,4,4
20,1,2,1,0,2,1,69.0,5400.0,28,37,13415.0,1,2,4
13,1,3,1,0,1,5,90.0,5000.0,31,42,11199.0,1,2,4
21,1,3,2,0,5,5,84.0,6600.0,19,32,7738.0,1,2,6
19,0,3,1,0,4,6,161.0,5000.0,24,33,10595.0,1,4,4
11,0,3,2,0,4,0,88.0,5200.0,22,24,13950.0,1,4,4
12,1,3,2,0,2,1,134.0,4800.0,26,33,15040.0,0,4,4
5,1,0,1,0,2,1,68.0,5500.0,37,33,30760.0,1,2,4
19,0,0,1,1,2,5,68.0,5500.0,24,29,12764.0,1,2,4
11,0,3,1,0,2,1,68.0,5400.0,37,20,12764.0,1,4,4
1,0,4,1,0,0,5,88.0,5200.0,26,26,22018.0,1,4,4
4,0,3,1,0,2,1,76.0,5200.0,19,37,12764.0,1,4,6
20,0,2,1,0,4,1,84.0,5200.0,26,25,8238.0,1,4,4
21,0,2,1,0,2,1,134.0,5000.0,26,22,6295.0,1,4,6
20,0,2,1,0,2,0,162.0,4750.0,37,29,11245.0,0,4,4
20,0,1,1,0,2,5,116.0,6000.0,37,37,7609.0,1,4,4
20,0,4,1,0,3,0,68.0,5200.0,24,46,8845.0,0,4,4
8,0,3,1,0,3,5,56.0,5000.0,18,25,15998.0,0,4,4
13,0,2,1,0,4,1,92.0,5400.0,19,30,10245.0,1,4,4
19,0,3,1,0,2,5,142.0,5000.0,31,25,6488.0,1,4,4
5,1,2,1,0,2,5,68.0,4800.0,28,29,34028.0,1,4,4
19,0,2,1,0,2,1,100.0,4800.0,45,34,19045.0,1,2,5
21,0,2,1,0,1,1,207.0,4800.0,38,37,18150.0,0,4,4
12,1,4,2,0,4,1,68.0,5500.0,22,20,13200.0,1,2,4
18,1,2,2,0,2,1,62.0,5400.0,19,34,11595.0,1,4,4
2,1,3,2,0,4,1,97.0,4500.0,21,31,8058.0,1,4,4
12,0,3,1,0,2,1,145.0,5500.0,19,32,11248.0,1,2,4
19,0,2,0,0,2,1,76.0,5250.0,25,30,37028.0,1,2,4
11,0,3,1,0,2,0,152.0,5200.0,27,37,7129.0,0,4,4
5,0,3,2,0,2,5,84.0,4800.0,15,27,7775.0,1,2,4
8,0,2,1,0,3,3,68.0,5125.369458128079,19,32,7463.0,0,2,4
19,0,3,2,0,2,5,123.0,5500.0,30,30,7609.0,1,4,4
21,1,2,1,0,2,6,69.0,5000.0,27,32,15690.0,1,2,4
20,1,4,1,0,2,5,140.0,5500.0,16,37,11850.0,1,2,4
19,0,2,1,0,2,1,152.0,5800.0,38,37,41315.0,0,2,4
19,1,3,1,0,2,5,95.0,5500.0,31,27,8358.0,1,4,4
19,0,3,2,0,2,2,72.0,5200.0,31,50,31600.0,1,2,4
21,1,3,1,0,4,5,69.0,5000.0,31,18,35550.0,1,2,4
19,0,4,2,0,2,1,111.0,5200.0,37,24,6377.0,1,4,8
11,1,2,1,0,2,1,69.0,5000.0,24,19,5399.0,0,2,4
19,0,2,1,0,2,5,123.0,4350.0,38,34,8845.0,0,2,4
14,0,3,1,0,2,5,68.0,4650.0,20,37,7898.0,0,4,5
