manufacturer,aspiration,doors,body,drive,engine_location,engine_type,cylinders,fuel_system,horsepower,peak_rpm,city_mpg,highway_mpg,price,diesel,gas
jaguar,std,four,sedan,rwd,front,dohc,six,mpfi,176.0,4750.0,15,19,32250.0,0,1
jaguar,std,four,sedan,rwd,front,dohc,six,mpfi,176.0,4750.0,15,19,35550.0,0,1
jaguar,std,two,sedan,rwd,front,ohcv,twelve,mpfi,262.0,5000.0,13,17,36000.0,0,1
mazda,std,two,hatchback,fwd,front,ohc,four,2bbl,68.0,5000.0,30,31,5195.0,0,1
mazda,std,two,hatchback,fwd,front,ohc,four,2bbl,68.0,5000.0,31,38,6095.0,0,1
mazda,std,two,hatchback,fwd,front,ohc,four,2bbl,68.0,5000.0,31,38,6795.0,0,1
mazda,std,four,sedan,fwd,front,ohc,four,2bbl,68.0,5000.0,31,38,6695.0,0,1
mazda,std,four,sedan,fwd,front,ohc,four,2bbl,68.0,5000.0,31,38,7395.0,0,1
mazda,std,two,hatchback,rwd,front,rotor,two,4bbl,101.0,6000.0,17,23,10945.0,0,1
mazda,std,two,hatchback,rwd,front,rotor,two,4bbl,101.0,6000.0,17,23,11845.0,0,1
mazda,std,two,hatchback,rwd,front,rotor,two,4bbl,101.0,6000.0,17,23,13645.0,0,1
mazda,std,two,hatchback,rwd,front,rotor,two,mpfi,135.0,6000.0,16,23,15645.0,0,1
mazda,std,two,hatchback,fwd,front,ohc,four,2bbl,84.0,4800.0,26,32,8845.0,0,1
mazda,std,four,sedan,fwd,front,ohc,four,2bbl,84.0,4800.0,26,32,8495.0,0,1
mazda,std,two,hatchback,fwd,front,ohc,four,2bbl,84.0,4800.0,26,32,10595.0,0,1
mazda,std,four,sedan,fwd,front,ohc,four,2bbl,84.0,4800.0,26,32,10245.0,0,1
mazda,std,four,sedan,fwd,front,ohc,four,idi,64.0,4650.0,36,42,10795.0,1,0
mazda,std,four,hatchback,fwd,front,ohc,four,2bbl,84.0,4800.0,26,32,11245.0,0,1
mazda,std,four,sedan,rwd,front,ohc,four,mpfi,120.0,5000.0,19,27,18280.0,0,1
mazda,std,four,sedan,rwd,front,ohc,four,idi,72.0,4200.0,31,39,18344.0,1,0
mercedes-benz,turbo,four,sedan,rwd,front,ohc,five,idi,123.0,4350.0,22,25,25552.0,1,0
mercedes-benz,turbo,four,wagon,rwd,front,ohc,five,idi,123.0,4350.0,22,25,28248.0,1,0
mercedes-benz,turbo,two,hardtop,rwd,front,ohc,five,idi,123.0,4350.0,22,25,28176.0,1,0
mercedes-benz,turbo,four,sedan,rwd,front,ohc,five,idi,123.0,4350.0,22,25,31600.0,1,0
mercedes-benz,std,four,sedan,rwd,front,ohcv,eight,mpfi,155.0,4750.0,16,18,34184.0,0,1
mercedes-benz,std,two,convertible,rwd,front,ohcv,eight,mpfi,155.0,4750.0,16,18,35056.0,0,1
mercedes-benz,std,four,sedan,rwd,front,ohcv,eight,mpfi,184.0,4500.0,14,16,40960.0,0,1
mercedes-benz,std,two,hardtop,rwd,front,ohcv,eight,mpfi,184.0,4500.0,14,16,45400.0,0,1
mercury,turbo,two,hatchback,rwd,front,ohc,four,mpfi,175.0,5000.0,19,24,16503.0,0,1
mitsubishi,std,two,hatchback,fwd,front,ohc,four,2bbl,68.0,5500.0,37,41,5389.0,0,1
mitsubishi,std,two,hatchback,fwd,front,ohc,four,2bbl,68.0,5500.0,31,38,6189.0,0,1
mitsubishi,std,two,hatchback,fwd,front,ohc,four,2bbl,68.0,5500.0,31,38,6669.0,0,1
mitsubishi,turbo,two,hatchback,fwd,front,ohc,four,spdi,102.0,5500.0,24,30,7689.0,0,1
mitsubishi,turbo,two,hatchback,fwd,front,ohc,four,spdi,116.0,5500.0,23,30,9959.0,0,1
mitsubishi,std,two,hatchback,fwd,front,ohc,four,2bbl,88.0,5000.0,25,32,8499.0,0,1
mitsubishi,turbo,two,hatchback,fwd,front,ohc,four,spdi,145.0,5000.0,19,24,12629.0,0,1
mitsubishi,turbo,two,hatchback,fwd,front,ohc,four,spdi,145.0,5000.0,19,24,14869.0,0,1
mitsubishi,turbo,two,hatchback,fwd,front,ohc,four,spdi,145.0,5000.0,19,24,14489.0,0,1
mitsubishi,std,four,sedan,fwd,front,ohc,four,2bbl,88.0,5000.0,25,32,6989.0,0,1
mitsubishi,std,four,sedan,fwd,front,ohc,four,2bbl,88.0,5000.0,25,32,8189.0,0,1
mitsubishi,turbo,four,sedan,fwd,front,ohc,four,spdi,116.0,5500.0,23,30,9279.0,0,1
mitsubishi,std,four,sedan,fwd,front,ohc,four,spdi,116.0,5500.0,23,30,9279.0,0,1
nissan,std,two,sedan,fwd,front,ohc,four,2bbl,69.0,5200.0,31,37,5499.0,0,1
nissan,std,two,sedan,fwd,front,ohc,four,idi,55.0,4800.0,45,50,7099.0,1,0
nissan,std,two,sedan,fwd,front,ohc,four,2bbl,69.0,5200.0,31,37,6649.0,0,1
nissan,std,four,sedan,fwd,front,ohc,four,2bbl,69.0,5200.0,31,37,6849.0,0,1
nissan,std,four,wagon,fwd,front,ohc,four,2bbl,69.0,5200.0,31,37,7349.0,0,1
nissan,std,two,sedan,fwd,front,ohc,four,2bbl,69.0,5200.0,31,37,7299.0,0,1
nissan,std,two,hatchback,fwd,front,ohc,four,2bbl,69.0,5200.0,31,37,7799.0,0,1
nissan,std,four,sedan,fwd,front,ohc,four,2bbl,69.0,5200.0,31,37,7499.0,0,1
nissan,std,four,wagon,fwd,front,ohc,four,2bbl,69.0,5200.0,31,37,7999.0,0,1
nissan,std,two,hardtop,fwd,front,ohc,four,2bbl,69.0,5200.0,31,37,8249.0,0,1
nissan,std,four,hatchback,fwd,front,ohc,four,2bbl,97.0,5200.0,27,34,8949.0,0,1
nissan,std,four,sedan,fwd,front,ohc,four,2bbl,97.0,5200.0,27,34,9549.0,0,1
nissan,std,four,sedan,fwd,front,ohcv,six,mpfi,152.0,5200.0,17,22,13499.0,0,1
nissan,std,four,wagon,fwd,front,ohcv,six,mpfi,152.0,5200.0,17,22,14399.0,0,1
nissan,std,four,sedan,fwd,front,ohcv,six,mpfi,152.0,5200.0,19,25,13499.0,0,1
nissan,std,two,hatchback,rwd,front,ohcv,six,mpfi,160.0,5200.0,19,25,17199.0,0,1
nissan,turbo,two,hatchback,rwd,front,ohcv,six,mpfi,200.0,5200.0,17,23,19699.0,0,1
nissan,std,two,hatchback,rwd,front,ohcv,six,mpfi,160.0,5200.0,19,25,18399.0,0,1
peugot,std,four,sedan,rwd,front,l,four,mpfi,97.0,5000.0,19,24,11900.0,0,1
peugot,turbo,four,sedan,rwd,front,l,four,idi,95.0,4150.0,28,33,13200.0,1,0
peugot,std,four,wagon,rwd,front,l,four,mpfi,97.0,5000.0,19,24,12440.0,0,1
peugot,turbo,four,wagon,rwd,front,l,four,idi,95.0,4150.0,25,25,13860.0,1,0
peugot,std,four,sedan,rwd,front,l,four,mpfi,95.0,5000.0,19,24,15580.0,0,1
peugot,turbo,four,sedan,rwd,front,l,four,idi,95.0,4150.0,28,33,16900.0,1,0
peugot,std,four,wagon,rwd,front,l,four,mpfi,95.0,5000.0,19,24,16695.0,0,1
peugot,turbo,four,wagon,rwd,front,l,four,idi,95.0,4150.0,25,25,17075.0,1,0
peugot,std,four,sedan,rwd,front,l,four,mpfi,97.0,5000.0,19,24,16630.0,0,1
peugot,turbo,four,sedan,rwd,front,l,four,idi,95.0,4150.0,28,33,17950.0,1,0
peugot,turbo,four,sedan,rwd,front,l,four,mpfi,142.0,5600.0,18,24,18150.0,0,1
plymouth,std,two,hatchback,fwd,front,ohc,four,2bbl,68.0,5500.0,37,41,5572.0,0,1
plymouth,turbo,two,hatchback,fwd,front,ohc,four,spdi,102.0,5500.0,24,30,7957.0,0,1
plymouth,std,four,hatchback,fwd,front,ohc,four,2bbl,68.0,5500.0,31,38,6229.0,0,1
plymouth,std,four,sedan,fwd,front,ohc,four,2bbl,68.0,5500.0,31,38,6692.0,0,1
plymouth,std,four,sedan,fwd,front,ohc,four,2bbl,68.0,5500.0,31,38,7609.0,0,1
plymouth,std,four,wagon,fwd,front,ohc,four,2bbl,88.0,5000.0,24,30,8921.0,0,1
plymouth,turbo,two,hatchback,rwd,front,ohc,four,spdi,145.0,5000.0,19,24,12764.0,0,1
porsche,std,two,hatchback,rwd,front,ohc,four,mpfi,143.0,5500.0,19,27,22018.0,0,1
porsche,std,two,hardtop,rwd,rear,ohcf,six,mpfi,207.0,5900.0,17,25,32528.0,0,1
porsche,std,two,hardtop,rwd,rear,ohcf,six,mpfi,207.0,5900.0,17,25,34028.0,0,1
porsche,std,two,convertible,rwd,rear,ohcf,six,mpfi,207.0,5900.0,17,25,37028.0,0,1
renault,std,four,wagon,fwd,front,ohc,four,mpfi,104.256157635468,5125.369458128079,23,31,9295.0,0,1
renault,std,two,hatchback,fwd,front,ohc,four,mpfi,104.256157635468,5125.369458128079,23,31,9895.0,0,1
saab,std,two,hatchback,fwd,front,ohc,four,mpfi,110.0,5250.0,21,28,11850.0,0,1
saab,std,four,sedan,fwd,front,ohc,four,mpfi,110.0,5250.0,21,28,12170.0,0,1
saab,std,two,hatchback,fwd,front,ohc,four,mpfi,110.0,5250.0,21,28,15040.0,0,1
saab,std,four,sedan,fwd,front,ohc,four,mpfi,110.0,5250.0,21,28,15510.0,0,1
saab,turbo,two,hatchback,fwd,front,dohc,four,mpfi,160.0,5500.0,19,26,18150.0,0,1
saab,turbo,four,sedan,fwd,front,dohc,four,mpfi,160.0,5500.0,19,26,18620.0,0,1
subaru,std,two,hatchback,fwd,front,ohcf,four,2bbl,69.0,4900.0,31,36,5118.0,0,1
subaru,std,two,hatchback,fwd,front,ohcf,four,2bbl,73.0,4400.0,26,31,7053.0,0,1
subaru,std,two,hatchback,4wd,front,ohcf,four,2bbl,73.0,4400.0,26,31,7603.0,0,1
subaru,std,four,sedan,fwd,front,ohcf,four,2bbl,82.0,4800.0,32,37,7126.0,0,1
subaru,std,four,sedan,fwd,front,ohcf,four,2bbl,82.0,4400.0,28,33,7775.0,0,1
subaru,std,four,sedan,fwd,front,ohcf,four,mpfi,94.0,5200.0,26,32,9960.0,0,1
subaru,std,four,sedan,4wd,front,ohcf,four,2bbl,82.0,4800.0,24,25,9233.0,0,1
subaru,turbo,four,sedan,4wd,front,ohcf,four,mpfi,111.0,4800.0,24,29,11259.0,0,1
subaru,std,four,wagon,fwd,front,ohcf,four,2bbl,82.0,4800.0,28,32,7463.0,0,1
subaru,std,four,wagon,fwd,front,ohcf,four,mpfi,94.0,5200.0,25,31,10198.0,0,1
subaru,std,four,wagon,4wd,front,ohcf,four,2bbl,82.0,4800.0,23,29,8013.0,0,1
subaru,turbo,four,wagon,4wd,front,ohcf,four,mpfi,111.0,4800.0,23,23,11694.0,0,1
toyota,std,two,hatchback,fwd,front,ohc,four,2bbl,62.0,4800.0,35,39,5348.0,0,1
toyota,std,two,hatchback,fwd,front,ohc,four,2bbl,62.0,4800.0,31,38,6338.0,0,1
toyota,std,four,hatchback,fwd,front,ohc,four,2bbl,62.0,4800.0,31,38,6488.0,0,1
toyota,std,four,wagon,fwd,front,ohc,four,2bbl,62.0,4800.0,31,37,6918.0,0,1
toyota,std,four,wagon,4wd,front,ohc,four,2bbl,62.0,4800.0,27,32,7898.0,0,1
toyota,std,four,wagon,4wd,front,ohc,four,2bbl,62.0,4800.0,27,32,8778.0,0,1
toyota,std,four,sedan,fwd,front,ohc,four,2bbl,70.0,4800.0,30,37,6938.0,0,1
toyota,std,four,hatchback,fwd,front,ohc,four,2bbl,70.0,4800.0,30,37,7198.0,0,1
toyota,std,four,sedan,fwd,front,ohc,four,idi,56.0,4500.0,34,36,7898.0,1,0
toyota,std,four,hatchback,fwd,front,ohc,four,idi,56.0,4500.0,38,47,7788.0,1,0
toyota,std,four,sedan,fwd,front,ohc,four,2bbl,70.0,4800.0,38,47,7738.0,0,1
toyota,std,four,hatchback,fwd,front,ohc,four,2bbl,70.0,4800.0,28,34,8358.0,0,1
toyota,std,four,sedan,fwd,front,ohc,four,2bbl,70.0,4800.0,28,34,9258.0,0,1
toyota,std,two,sedan,rwd,front,ohc,four,2bbl,70.0,4800.0,29,34,8058.0,0,1
toyota,std,two,hatchback,rwd,front,ohc,four,2bbl,70.0,4800.0,29,34,8238.0,0,1
toyota,std,two,sedan,rwd,front,dohc,four,mpfi,112.0,6600.0,26,29,9298.0,0,1
toyota,std,two,hatchback,rwd,front,dohc,four,mpfi,112.0,6600.0,26,29,9538.0,0,1
toyota,std,two,hardtop,rwd,front,ohc,four,mpfi,116.0,4800.0,24,30,8449.0,0,1
toyota,std,two,hardtop,rwd,front,ohc,four,mpfi,116.0,4800.0,24,30,9639.0,0,1
toyota,std,two,hatchback,rwd,front,ohc,four,mpfi,116.0,4800.0,24,30,9989.0,0,1
toyota,std,two,hardtop,rwd,front,ohc,four,mpfi,116.0,4800.0,24,30,11199.0,0,1
toyota,std,two,hatchback,rwd,front,ohc,four,mpfi,116.0,4800.0,24,30,11549.0,0,1
toyota,std,two,convertible,rwd,front,ohc,four,mpfi,116.0,4800.0,24,30,17669.0,0,1
toyota,std,four,sedan,fwd,front,ohc,four,mpfi,92.0,4200.0,29,34,8948.0,0,1
toyota,turbo,four,sedan,fwd,front,ohc,four,idi,73.0,4500.0,30,33,10698.0,1,0
toyota,std,four,hatchback,fwd,front,ohc,four,mpfi,92.0,4200.0,27,32,9988.0,0,1
toyota,std,four,sedan,fwd,front,ohc,four,mpfi,92.0,4200.0,27,32,10898.0,0,1
toyota,std,four,hatchback,fwd,front,ohc,four,mpfi,92.0,4200.0,27,32,11248.0,0,1
toyota,std,two,hatchback,rwd,front,dohc,six,mpfi,161.0,5200.0,20,24,16558.0,0,1
toyota,std,two,hatchback,rwd,front,dohc,six,mpfi,161.0,5200.0,19,24,15998.0,0,1
toyota,std,four,sedan,rwd,front,dohc,six,mpfi,156.0,5200.0,20,24,15690.0,0,1
toyota,std,four,wagon,rwd,front,dohc,six,mpfi,156.0,5200.0,19,24,15750.0,0,1
volkswagen,std,two,sedan,fwd,front,ohc,four,idi,52.0,4800.0,37,46,7775.0,1,0
volkswagen,std,two,sedan,fwd,front,ohc,four,mpfi,85.0,5250.0,27,34,7975.0,0,1
volkswagen,std,four,sedan,fwd,front,ohc,four,idi,52.0,4800.0,37,46,7995.0,1,0
volkswagen,std,four,sedan,fwd,front,ohc,four,mpfi,85.0,5250.0,27,34,8195.0,0,1
volkswagen,std,four,sedan,fwd,front,ohc,four,mpfi,85.0,5250.0,27,34,8495.0,0,1
volkswagen,turbo,four,sedan,fwd,front,ohc,four,idi,68.0,4500.0,37,42,9495.0,1,0
volkswagen,std,four,sedan,fwd,front,ohc,four,mpfi,100.0,5500.0,26,32,9995.0,0,1
volkswagen,std,two,convertible,fwd,front,ohc,four,mpfi,90.0,5500.0,24,29,11595.0,0,1
volkswagen,std,two,hatchback,fwd,front,ohc,four,mpfi,90.0,5500.0,24,29,9980.0,0,1
volkswagen,std,four,sedan,fwd,front,ohc,five,mpfi,110.0,5500.0,19,24,13295.0,0,1
volkswagen,turbo,four,sedan,fwd,front,ohc,four,idi,68.0,4500.0,33,38,13845.0,1,0
volkswagen,std,four,wagon,fwd,front,ohc,four,mpfi,88.0,5500.0,25,31,12290.0,0,1
volvo,std,four,sedan,rwd,front,ohc,four,mpfi,114.0,5400.0,23,28,12940.0,0,1
volvo,std,four,wagon,rwd,front,ohc,four,mpfi,114.0,5400.0,23,28,13415.0,0,1
volvo,std,four,sedan,rwd,front,ohc,four,mpfi,114.0,5400.0,24,28,15985.0,0,1
volvo,std,four,wagon,rwd,front,ohc,four,mpfi,114.0,5400.0,24,28,16515.0,0,1
volvo,turbo,four,sedan,rwd,front,ohc,four,mpfi,162.0,5100.0,17,22,18420.0,0,1
volvo,turbo,four,wagon,rwd,front,ohc,four,mpfi,162.0,5100.0,17,22,18950.0,0,1
volvo,std,four,sedan,rwd,front,ohc,four,mpfi,114.0,5400.0,23,28,16845.0,0,1
volvo,turbo,four,sedan,rwd,front,ohc,four,mpfi,160.0,5300.0,19,25,19045.0,0,1
volvo,std,four,sedan,rwd,front,ohcv,six,mpfi,134.0,5500.0,18,23,21485.0,0,1
volvo,turbo,four,sedan,rwd,front,ohc,six,idi,106.0,4800.0,26,27,22470.0,1,0
volvo,turbo,four,sedan,rwd,front,ohc,four,mpfi,114.0,5400.0,19,25,22625.0,0,1
honda,std,two,sedan,rwd,front,ohc,four,2bbl,92.0,4800.0,28,28,7609.0,0,1
volvo,std,two,wagon,fwd,front,ohc,four,mpfi,200.0,6600.0,19,33,6855.0,0,1
mercedes-benz,std,two,sedan,fwd,front,ohc,four,spdi,121.0,5250.0,27,38,8499.0,0,1
toyota,std,two,sedan,fwd,front,ohcf,four,spdi,95.0,4800.0,31,33,5151.0,0,1
nissan,std,four,hatchback,fwd,front,ohc,four,idi,111.0,4800.0,31,38,9538.0,0,1
volkswagen,std,two,sedan,fwd,front,ohc,four,mpfi,69.0,5000.0,31,38,6855.0,0,1
volkswagen,turbo,four,hatchback,rwd,front,ohc,four,mpfi,84.0,4800.0,31,19,14869.0,0,1
nissan,std,two,sedan,rwd,front,ohc,six,mpfi,90.0,5400.0,28,20,45400.0,0,1
subaru,std,four,sedan,fwd,front,ohc,four,mpfi,102.0,5000.0,31,34,13200.0,0,1
mitsubishi,std,two,wagon,fwd,front,ohc,four,2bbl,116.0,5000.0,19,25,8778.0,0,1
nissan,std,two,sedan,rwd,front,ohcf,four,mpfi,116.0,5200.0,19,41,9960.0,0,1
isuzu,std,four,sedan,fwd,front,ohcv,four,1bbl,73.0,4800.0,23,32,5572.0,0,1
toyota,std,four,hatchback,fwd,front,ohc,two,1bbl,92.0,4800.0,31,23,12940.0,0,1
toyota,std,two,sedan,fwd,front,ohc,four,mpfi,84.0,4750.0,17,37,37028.0,0,1
mercedes-benz,std,two,sedan,rwd,front,ohc,six,2bbl,162.0,6000.0,25,29,10198.0,0,1
saab,turbo,four,sedan,fwd,front,ohc,four,mfi,111.0,4800.0,27,25,6295.0,0,1
chevrolet,std,four,sedan,fwd,front,ohc,four,mpfi,207.0,4800.0,31,37,13415.0,0,1
nissan,std,four,hatchback,rwd,front,ohcv,four,2bbl,111.0,5400.0,22,24,7895.0,0,1
nissan,std,two,hatchback,rwd,front,ohc,four,2bbl,62.0,5400.0,19,36,8495.0,0,1
bmw,std,four,sedan,fwd,front,ohc,four,mpfi,68.0,5400.0,26,30,7395.0,0,1
honda,turbo,four,sedan,rwd,front,ohc,four,spdi,121.0,5125.369458128079,34,27,6575.0,0,1
mitsubishi,std,four,hatchback,rwd,front,ohc,four,mpfi,58.0,5500.0,27,37,6295.0,0,1
volkswagen,std,four,sedan,fwd,front,ohc,four,mpfi,162.0,5125.369458128079,19,38,9295.0,0,1
renault,std,four,sedan,fwd,front,ohcv,four,1bbl,90.0,4500.0,16,23,7126.0,0,1
toyota,turbo,four,sedan,rwd,front,ohc,six,2bbl,262.0,5200.0,27,31,6229.0,0,1
nissan,std,two,sedan,fwd,front,ohcf,four,mpfi,62.0,5200.0,24,29,7957.0,0,1
toyota,std,two,sedan,rwd,front,ohc,four,idi,101.0,4750.0,17,46,17950.0,0,1
volkswagen,std,two,sedan,fwd,front,ohcv,four,2bbl,104.256157635468,5800.0,26,37,9233.0,0,1
mazda,std,four,hatchback,fwd,front,ohc,four,2bbl,116.0,4800.0,19,30,17075.0,0,1
mazda,std,two,wagon,fwd,front,ohcf,six,2bbl,101.0,4200.0,19,29,9095.0,1,0
plymouth,turbo,two,hatchback,fwd,front,ohc,four,2bbl,110.0,5000.0,13,24,7799.0,0,1
chevrolet,turbo,four,sedan,4wd,front,ohc,four,2bbl,76.0,5200.0,24,38,34028.0,1,0
nissan,std,four,sedan,fwd,front,ohc,four,mpfi,68.0,5200.0,31,24,7788.0,0,1
subaru,std,two,hatchback,rwd,front,ohc,four,mpfi,145.0,5000.0,25,25,6938.0,0,1
peugot,std,two,hatchback,fwd,front,ohc,four,idi,114.0,4800.0,24,38,6692.0,0,1
mazda,std,two,sedan,rwd,front,ohcf,four,1bbl,140.0,4800.0,31,23,9279.0,0,1
toyota,std,two,sedan,rwd,front,ohc,four,2bbl,78.0,5125.369458128079,16,31,8845.0,0,1
mitsubishi,std,four,hardtop,rwd,front,ohc,four,2bbl,92.0,5250.0,20,41,16500.0,0,1
plymouth,std,two,sedan,rwd,front,ohc,four,mpfi,123.0,4250.0,21,32,7957.0,1,0
toyota,std,four,hatchback,fwd,front,dohc,four,2bbl,62.0,5500.0,31,23,7999.0,0,1
mitsubishi,std,two,hatchback,fwd,front,ohcv,five,mpfi,100.0,5500.0,22,29,13495.0,1,0
mercedes-benz,std,four,hatchback,rwd,front,ohc,four,2bbl,176.0,4250.0,17,24,16500.0,0,1
toyota,std,four,sedan,fwd,front,ohc,eight,2bbl,76.0,5000.0,32,22,22625.0,0,1
peugot,turbo,two,sedan,fwd,front,ohcf,four,mpfi,123.0,5500.0,31,22,11048.0,0,1
mitsubishi,turbo,four,hatchback,fwd,front,ohc,four,4bbl,111.0,4800.0,14,31,15645.0,0,1
volvo,std,four,sedan,fwd,front,ohc,four,2bbl,145.0,5000.0,30,39,13499.0,0,1
honda,std,four,sedan,rwd,front,ohcf,four,2bbl,72.0,5000.0,18,28,17950.0,0,1
volkswagen,std,two,hatchback,rwd,front,ohc,four,2bbl,68.0,5400.0,24,33,9279.0,1,0
subaru,std,four,hatchback,fwd,front,ohc,four,idi,112.0,4800.0,16,32,21105.0,0,1
porsche,std,two,hatchback,rwd,front,ohc,four,mpfi,101.0,4500.0,26,30,7463.0,0,1
volvo,turbo,two,hatchback,rwd,front,ohc,four,2bbl,90.0,5500.0,26,25,17669.0,1,0
mazda,std,two,hardtop,4wd,front,ohcv,four,2bbl,116.0,5200.0,17,22,21105.0,1,0
volkswagen,std,two,sedan,fwd,front,ohcv,four,1bbl,64.0,5500.0,24,34,15510.0,0,1
peugot,std,four,hardtop,fwd,front,ohc,four,2bbl,110.0,4150.0,26,19,12170.0,0,1
toyota,std,two,hatchback,fwd,front,ohc,four,2bbl,102.0,5000.0,49,34,11199.0,1,0
subaru,std,two,sedan,fwd,front,l,four,mpfi,68.0,5500.0,31,39,12290.0,0,1
volkswagen,std,four,sedan,fwd,front,ohc,four,mpfi,116.0,4800.0,24,28,8249.0,1,0
mercedes-benz,std,four,wagon,rwd,front,ohc,five,2bbl,135.0,5500.0,17,38,7609.0,1,0
porsche,std,four,sedan,fwd,front,ohc,four,2bbl,116.0,5000.0,32,32,8558.0,0,1
saab,turbo,four,wagon,fwd,front,ohc,four,2bbl,86.0,5200.0,37,38,18950.0,0,1
toyota,std,four,hatchback,rwd,front,ohc,four,2bbl,114.0,5500.0,27,23,10345.0,0,1
peugot,turbo,two,sedan,rwd,front,ohc,six,idi,97.0,5500.0,26,25,17669.0,0,1
mitsubishi,std,four,sedan,fwd,front,ohc,four,1bbl,76.0,5500.0,28,28,5348.0,1,0
audi,std,two,sedan,fwd,front,ohc,five,mpfi,111.0,5400.0,23,34,13845.0,0,1
